week,season,analyst,position,player,rank
1,2024,Justin Boone,TE,Dallas Goedert,1
1,2024,Justin Boone,TE,Brock Bowers,2
1,2024,Justin Boone,TE,Mark Andrews,3
1,2024,Justin Boone,TE,George Kittle,4
1,2024,Justin Boone,TE,Jake Ferguson,5
1,2024,Justin Boone,TE,Travis Kelce,6
1,2024,Justin Boone,TE,Isaiah Likely,7
1,2024,Justin Boone,TE,Sam LaPorta,8
1,2024,Justin Boone,TE,Cole Kmet,9
1,2024,Justin Boone,TE,Pat Freiermuth,10
1,2024,Justin Boone,TE,Foster Moreau,11
1,2024,Justin Boone,TE,David Njoku,12
1,2024,Justin Boone,DST,MIA DST,1
1,2024,Justin Boone,DST,BAL DST,2
1,2024,Justin Boone,DST,NE DST,3
1,2024,Justin Boone,DST,CLE DST,4
1,2024,Justin Boone,DST,SF DST,5
1,2024,Justin Boone,DST,DAL DST,6
1,2024,Justin Boone,DST,PHI DST,7
1,2024,Justin Boone,DST,BUF DST,8
1,2024,Justin Boone,DST,PIT DST,9
1,2024,Justin Boone,DST,KC DST,10
1,2024,Dave Richard,QB,Lamar Jackson,1
1,2024,Dave Richard,QB,Trevor Lawrence,2
1,2024,Dave Richard,QB,Dak Prescott,3
1,2024,Dave Richard,QB,Tua Tagovailoa,4
1,2024,Dave Richard,QB,Kyler Murray,5
1,2024,Dave Richard,QB,Brock Purdy,6
1,2024,Dave Richard,QB,Jalen Hurts,7
1,2024,Dave Richard,QB,Jordan Love,8
1,2024,Dave Richard,QB,Anthony Richardson,9
1,2024,Dave Richard,QB,Joe Burrow,10
1,2024,Dave Richard,QB,Josh Allen,11
1,2024,Dave Richard,QB,Justin Herbert,12
1,2024,Dave Richard,RB,Christian McCaffrey,1
1,2024,Dave Richard,RB,David Montgomery,2
1,2024,Dave Richard,RB,Aaron Jones,3
1,2024,Dave Richard,RB,James Cook,4
1,2024,Dave Richard,RB,Jonathan Taylor,5
1,2024,Dave Richard,RB,Derrick Henry,6
1,2024,Dave Richard,RB,Josh Jacobs,7
1,2024,Dave Richard,RB,De'Von Achane,8
1,2024,Dave Richard,RB,Bijan Robinson,9
1,2024,Dave Richard,RB,Breece Hall,10
1,2024,Dave Richard,RB,Najee Harris,11
1,2024,Dave Richard,RB,Kyren Williams,12
1,2024,Dave Richard,RB,Travis Etienne,13
1,2024,Dave Richard,RB,Saquon Barkley,14
1,2024,Dave Richard,RB,Rhamondre Stevenson,15
1,2024,Dave Richard,RB,Tony Pollard,16
1,2024,Dave Richard,WR,Stefon Diggs,1
1,2024,Dave Richard,WR,Drake London,2
1,2024,Dave Richard,WR,DeVonta Smith,3
1,2024,Dave Richard,WR,Davante Adams,4
1,2024,Dave Richard,WR,CeeDee Lamb,5
1,2024,Dave Richard,WR,Keenan Allen,6
1,2024,Dave Richard,WR,Justin Jefferson,7
1,2024,Dave Richard,WR,Amon-Ra St. Brown,8
1,2024,Dave Richard,WR,Puka Nacua,9
1,2024,Dave Richard,WR,DK Metcalf,10
1,2024,Dave Richard,WR,Ja'Marr Chase,11
1,2024,Dave Richard,WR,Tyreek Hill,12
1,2024,Dave Richard,WR,Chris Olave,13
1,2024,Dave Richard,WR,Tee Higgins,14
1,2024,Dave Richard,WR,Michael Pittman,15
1,2024,Dave Richard,WR,Garrett Wilson,16
1,2024,Dave Richard,TE,Sam LaPorta,1
1,2024,Dave Richard,TE,David Njoku,2
1,2024,Dave Richard,TE,Travis Kelce,3
1,2024,Dave Richard,TE,Jake Ferguson,4
1,2024,Dave Richard,TE,Pat Freiermuth,5
1,2024,Dave Richard,TE,Foster Moreau,6
1,2024,Dave Richard,TE,Brock Bowers,7
1,2024,Dave Richard,TE,Cole Kmet,8
1,2024,Dave Richard,TE,Mark Andrews,9
1,2024,Dave Richard,TE,George Kittle,10
1,2024,Dave Richard,TE,Isaiah Likely,11
1,2024,Dave Richard,TE,Dallas Goedert,12
1,2024,Dave Richard,DST,NE DST,1
1,2024,Dave Richard,DST,SF DST,2
1,2024,Dave Richard,DST,MIA DST,3
1,2024,Dave Richard,DST,BAL DST,4
1,2024,Dave Richard,DST,PIT DST,5
1,2024,Dave Richard,DST,KC DST,6
1,2024,Dave Richard,DST,DAL DST,7
1,2024,Dave Richard,DST,BUF DST,8
1,2024,Dave Richard,DST,CLE DST,9
1,2024,Dave Richard,DST,PHI DST,10
1,2024,Sal Vetri,QB,Kyler Murray,1
1,2024,Sal Vetri,QB,Lamar Jackson,2
1,2024,Sal Vetri,QB,Brock Purdy,3
1,2024,Sal Vetri,QB,Dak Prescott,4
1,2024,Sal Vetri,QB,Justin Herbert,5
1,2024,Sal Vetri,QB,Tua Tagovailoa,6
1,2024,Sal Vetri,QB,Joe Burrow,7
1,2024,Sal Vetri,QB,Trevor Lawrence,8
1,2024,Sal Vetri,QB,Jordan Love,9
1,2024,Sal Vetri,QB,Anthony Richardson,10
1,2024,Sal Vetri,QB,Jalen Hurts,11
1,2024,Sal Vetri,QB,Josh Allen,12
1,2024,Sal Vetri,RB,Tony Pollard,1
1,2024,Sal Vetri,RB,Josh Jacobs,2
1,2024,Sal Vetri,RB,Aaron Jones,3
1,2024,Sal Vetri,RB,David Montgomery,4
1,2024,Sal Vetri,RB,Derrick Henry,5
1,2024,Sal Vetri,RB,De'Von Achane,6
1,2024,Sal Vetri,RB,Bijan Robinson,7
1,2024,Sal Vetri,RB,Najee Harris,8
1,2024,Sal Vetri,RB,Jonathan Taylor,9
1,2024,Sal Vetri,RB,Saquon Barkley,10
1,2024,Sal Vetri,RB,James Cook,11
1,2024,Sal Vetri,RB,Kyren Williams,12
1,2024,Sal Vetri,RB,Breece Hall,13
1,2024,Sal Vetri,RB,Travis Etienne,14
1,2024,Sal Vetri,RB,Rhamondre Stevenson,15
1,2024,Sal Vetri,RB,Christian McCaffrey,16
1,2024,Sal Vetri,WR,Drake London,1
1,2024,Sal Vetri,WR,Amon-Ra St. Brown,2
1,2024,Sal Vetri,WR,Keenan Allen,3
1,2024,Sal Vetri,WR,Tyreek Hill,4
1,2024,Sal Vetri,WR,DK Metcalf,5
1,2024,Sal Vetri,WR,Michael Pittman,6
1,2024,Sal Vetri,WR,Davante Adams,7
1,2024,Sal Vetri,WR,Justin Jefferson,8
1,2024,Sal Vetri,WR,Ja'Marr Chase,9
1,2024,Sal Vetri,WR,Chris Olave,10
1,2024,Sal Vetri,WR,Tee Higgins,11
1,2024,Sal Vetri,WR,Stefon Diggs,12
1,2024,Sal Vetri,WR,Garrett Wilson,13
1,2024,Sal Vetri,WR,CeeDee Lamb,14
1,2024,Sal Vetri,WR,DeVonta Smith,15
1,2024,Sal Vetri,WR,Puka Nacua,16
1,2024,Sal Vetri,TE,Mark Andrews,1
1,2024,Sal Vetri,TE,Foster Moreau,2
1,2024,Sal Vetri,TE,Travis Kelce,3
1,2024,Sal Vetri,TE,Jake Ferguson,4
1,2024,Sal Vetri,TE,Dallas Goedert,5
1,2024,Sal Vetri,TE,Isaiah Likely,6
1,2024,Sal Vetri,TE,Pat Freiermuth,7
1,2024,Sal Vetri,TE,Cole Kmet,8
1,2024,Sal Vetri,TE,David Njoku,9
1,2024,Sal Vetri,TE,Brock Bowers,10
1,2024,Sal Vetri,TE,Sam LaPorta,11
1,2024,Sal Vetri,TE,George Kittle,12
1,2024,Sal Vetri,DST,SF DST,1
1,2024,Sal Vetri,DST,MIA DST,2
1,2024,Sal Vetri,DST,PIT DST,3
1,2024,Sal Vetri,DST,CLE DST,4
1,2024,Sal Vetri,DST,BAL DST,5
1,2024,Sal Vetri,DST,BUF DST,6
1,2024,Sal Vetri,DST,PHI DST,7
1,2024,Sal Vetri,DST,NE DST,8
1,2024,Sal Vetri,DST,KC DST,9
1,2024,Sal Vetri,DST,DAL DST,10
1,2024,Jake Ciely,QB,Lamar Jackson,1
1,2024,Jake Ciely,QB,Josh Allen,2
1,2024,Jake Ciely,QB,Anthony Richardson,3
1,2024,Jake Ciely,QB,Brock Purdy,4
1,2024,Jake Ciely,QB,Jalen Hurts,5
1,2024,Jake Ciely,QB,Kyler Murray,6
1,2024,Jake Ciely,QB,Dak Prescott,7
1,2024,Jake Ciely,QB,Jordan Love,8
1,2024,Jake Ciely,QB,Justin Herbert,9
1,2024,Jake Ciely,QB,Trevor Lawrence,10
1,2024,Jake Ciely,QB,Tua Tagovailoa,11
1,2024,Jake Ciely,QB,Joe Burrow,12
1,2024,Jake Ciely,RB,Travis Etienne,1
1,2024,Jake Ciely,RB,Derrick Henry,2
1,2024,Jake Ciely,RB,Bijan Robinson,3
1,2024,Jake Ciely,RB,Tony Pollard,4
1,2024,Jake Ciely,RB,Rhamondre Stevenson,5
1,2024,Jake Ciely,RB,Najee Harris,6
1,2024,Jake Ciely,RB,Saquon Barkley,7
1,2024,Jake Ciely,RB,David Montgomery,8
1,2024,Jake Ciely,RB,James Cook,9
1,2024,Jake Ciely,RB,Josh Jacobs,10
1,2024,Jake Ciely,RB,Christian McCaffrey,11
1,2024,Jake Ciely,RB,Jonathan Taylor,12
1,2024,Jake Ciely,RB,Breece Hall,13
1,2024,Jake Ciely,RB,Kyren Williams,14
1,2024,Jake Ciely,RB,Aaron Jones,15
1,2024,Jake Ciely,RB,De'Von Achane,16
1,2024,Jake Ciely,WR,Tee Higgins,1
1,2024,Jake Ciely,WR,Michael Pittman,2
1,2024,Jake Ciely,WR,Justin Jefferson,3
1,2024,Jake Ciely,WR,Keenan Allen,4
1,2024,Jake Ciely,WR,Amon-Ra St. Brown,5
1,2024,Jake Ciely,WR,Garrett Wilson,6
1,2024,Jake Ciely,WR,DK Metcalf,7
1,2024,Jake Ciely,WR,Drake London,8
1,2024,Jake Ciely,WR,Stefon Diggs,9
1,2024,Jake Ciely,WR,Ja'Marr Chase,10
1,2024,Jake Ciely,WR,DeVonta Smith,11
1,2024,Jake Ciely,WR,Chris Olave,12
1,2024,Jake Ciely,WR,Puka Nacua,13
1,2024,Jake Ciely,WR,Tyreek Hill,14
1,2024,Jake Ciely,WR,CeeDee Lamb,15
1,2024,Jake Ciely,WR,Davante Adams,16
1,2024,Jake Ciely,TE,Sam LaPorta,1
1,2024,Jake Ciely,TE,George Kittle,2
1,2024,Jake Ciely,TE,Cole Kmet,3
1,2024,Jake Ciely,TE,Jake Ferguson,4
1,2024,Jake Ciely,TE,David Njoku,5
1,2024,Jake Ciely,TE,Isaiah Likely,6
1,2024,Jake Ciely,TE,Mark Andrews,7
1,2024,Jake Ciely,TE,Foster Moreau,8
1,2024,Jake Ciely,TE,Pat Freiermuth,9
1,2024,Jake Ciely,TE,Brock Bowers,10
1,2024,Jake Ciely,TE,Travis Kelce,11
1,2024,Jake Ciely,TE,Dallas Goedert,12
1,2024,Jake Ciely,DST,BAL DST,1
1,2024,Jake Ciely,DST,MIA DST,2
1,2024,Jake Ciely,DST,PIT DST,3
1,2024,Jake Ciely,DST,PHI DST,4
1,2024,Jake Ciely,DST,KC DST,5
1,2024,Jake Ciely,DST,NE DST,6
1,2024,Jake Ciely,DST,BUF DST,7
1,2024,Jake Ciely,DST,CLE DST,8
1,2024,Jake Ciely,DST,SF DST,9
1,2024,Jake Ciely,DST,DAL DST,10
1,2024,Heath Cummings,QB,Dak Prescott,1
1,2024,Heath Cummings,QB,Justin Herbert,2
1,2024,Heath Cummings,QB,Trevor Lawrence,3
1,2024,Heath Cummings,QB,Lamar Jackson,4
1,2024,Heath Cummings,QB,Josh Allen,5
1,2024,Heath Cummings,QB,Joe Burrow,6
1,2024,Heath Cummings,QB,Anthony Richardson,7
1,2024,Heath Cummings,QB,Brock Purdy,8
1,2024,Heath Cummings,QB,Jordan Love,9
1,2024,Heath Cummings,QB,Jalen Hurts,10
1,2024,Heath Cummings,QB,Kyler Murray,11
1,2024,Heath Cummings,QB,Tua Tagovailoa,12
1,2024,Heath Cummings,RB,Josh Jacobs,1
1,2024,Heath Cummings,RB,Jonathan Taylor,2
1,2024,Heath Cummings,RB,Saquon Barkley,3
1,2024,Heath Cummings,RB,Najee Harris,4
1,2024,Heath Cummings,RB,David Montgomery,5
1,2024,Heath Cummings,RB,Travis Etienne,6
1,2024,Heath Cummings,RB,Kyren Williams,7
1,2024,Heath Cummings,RB,Derrick Henry,8
1,2024,Heath Cummings,RB,Tony Pollard,9
1,2024,Heath Cummings,RB,Bijan Robinson,10
1,2024,Heath Cummings,RB,De'Von Achane,11
1,2024,Heath Cummings,RB,Aaron Jones,12
1,2024,Heath Cummings,RB,Christian McCaffrey,13
1,2024,Heath Cummings,RB,James Cook,14
1,2024,Heath Cummings,RB,Rhamondre Stevenson,15
1,2024,Heath Cummings,RB,Breece Hall,16
1,2024,Heath Cummings,WR,Ja'Marr Chase,1
1,2024,Heath Cummings,WR,Garrett Wilson,2
1,2024,Heath Cummings,WR,Drake London,3
1,2024,Heath Cummings,WR,Puka Nacua,4
1,2024,Heath Cummings,WR,Justin Jefferson,5
1,2024,Heath Cummings,WR,Keenan Allen,6
1,2024,Heath Cummings,WR,CeeDee Lamb,7
1,2024,Heath Cummings,WR,DK Metcalf,8
1,2024,Heath Cummings,WR,DeVonta Smith,9
1,2024,Heath Cummings,WR,Chris Olave,10
1,2024,Heath Cummings,WR,Michael Pittman,11
1,2024,Heath Cummings,WR,Davante Adams,12
1,2024,Heath Cummings,WR,Tee Higgins,13
1,2024,Heath Cummings,WR,Stefon Diggs,14
1,2024,Heath Cummings,WR,Amon-Ra St. Brown,15
1,2024,Heath Cummings,WR,Tyreek Hill,16
1,2024,Heath Cummings,TE,Travis Kelce,1
1,2024,Heath Cummings,TE,Isaiah Likely,2
1,2024,Heath Cummings,TE,Mark Andrews,3
1,2024,Heath Cummings,TE,Jake Ferguson,4
1,2024,Heath Cummings,TE,Brock Bowers,5
1,2024,Heath Cummings,TE,Dallas Goedert,6
1,2024,Heath Cummings,TE,Cole Kmet,7
1,2024,Heath Cummings,TE,George Kittle,8
1,2024,Heath Cummings,TE,Pat Freiermuth,9
1,2024,Heath Cummings,TE,Sam LaPorta,10
1,2024,Heath Cummings,TE,David Njoku,11
1,2024,Heath Cummings,TE,Foster Moreau,12
1,2024,Heath Cummings,DST,PIT DST,1
1,2024,Heath Cummings,DST,PHI DST,2
1,2024,Heath Cummings,DST,CLE DST,3
1,2024,Heath Cummings,DST,SF DST,4
1,2024,Heath Cummings,DST,BAL DST,5
1,2024,Heath Cummings,DST,MIA DST,6
1,2024,Heath Cummings,DST,BUF DST,7
1,2024,Heath Cummings,DST,KC DST,8
1,2024,Heath Cummings,DST,DAL DST,9
1,2024,Heath Cummings,DST,NE DST,10
1,2024,Scott Pianowski,QB,Joe Burrow,1
1,2024,Scott Pianowski,QB,Anthony Richardson,2
1,2024,Scott Pianowski,QB,Tua Tagovailoa,3
1,2024,Scott Pianowski,QB,Jalen Hurts,4
1,2024,Scott Pianowski,QB,Kyler Murray,5
1,2024,Scott Pianowski,QB,Justin Herbert,6
1,2024,Scott Pianowski,QB,Dak Prescott,7
1,2024,Scott Pianowski,QB,Jordan Love,8
1,2024,Scott Pianowski,QB,Josh Allen,9
1,2024,Scott Pianowski,QB,Lamar Jackson,10
1,2024,Scott Pianowski,QB,Trevor Lawrence,11
1,2024,Scott Pianowski,QB,Brock Purdy,12
1,2024,Scott Pianowski,RB,Josh Jacobs,1
1,2024,Scott Pianowski,RB,Travis Etienne,2
1,2024,Scott Pianowski,RB,Kyren Williams,3
1,2024,Scott Pianowski,RB,Breece Hall,4
1,2024,Scott Pianowski,RB,James Cook,5
1,2024,Scott Pianowski,RB,Christian McCaffrey,6
1,2024,Scott Pianowski,RB,Najee Harris,7
1,2024,Scott Pianowski,RB,Jonathan Taylor,8
1,2024,Scott Pianowski,RB,Derrick Henry,9
1,2024,Scott Pianowski,RB,David Montgomery,10
1,2024,Scott Pianowski,RB,Aaron Jones,11
1,2024,Scott Pianowski,RB,Bijan Robinson,12
1,2024,Scott Pianowski,RB,Tony Pollard,13
1,2024,Scott Pianowski,RB,Saquon Barkley,14
1,2024,Scott Pianowski,RB,De'Von Achane,15
1,2024,Scott Pianowski,RB,Rhamondre Stevenson,16
1,2024,Scott Pianowski,WR,Tyreek Hill,1
1,2024,Scott Pianowski,WR,DK Metcalf,2
1,2024,Scott Pianowski,WR,Keenan Allen,3
1,2024,Scott Pianowski,WR,Davante Adams,4
1,2024,Scott Pianowski,WR,Tee Higgins,5
1,2024,Scott Pianowski,WR,Amon-Ra St. Brown,6
1,2024,Scott Pianowski,WR,Garrett Wilson,7
1,2024,Scott Pianowski,WR,Michael Pittman,8
1,2024,Scott Pianowski,WR,CeeDee Lamb,9
1,2024,Scott Pianowski,WR,Puka Nacua,10
1,2024,Scott Pianowski,WR,Drake London,11
1,2024,Scott Pianowski,WR,Stefon Diggs,12
1,2024,Scott Pianowski,WR,Chris Olave,13
1,2024,Scott Pianowski,WR,Ja'Marr Chase,14
1,2024,Scott Pianowski,WR,DeVonta Smith,15
1,2024,Scott Pianowski,WR,Justin Jefferson,16
1,2024,Scott Pianowski,TE,George Kittle,1
1,2024,Scott Pianowski,TE,Travis Kelce,2
1,2024,Scott Pianowski,TE,Dallas Goedert,3
1,2024,Scott Pianowski,TE,Mark Andrews,4
1,2024,Scott Pianowski,TE,Brock Bowers,5
1,2024,Scott Pianowski,TE,Foster Moreau,6
1,2024,Scott Pianowski,TE,David Njoku,7
1,2024,Scott Pianowski,TE,Cole Kmet,8
1,2024,Scott Pianowski,TE,Sam LaPorta,9
1,2024,Scott Pianowski,TE,Jake Ferguson,10
1,2024,Scott Pianowski,TE,Isaiah Likely,11
1,2024,Scott Pianowski,TE,Pat Freiermuth,12
1,2024,Scott Pianowski,DST,BUF DST,1
1,2024,Scott Pianowski,DST,BAL DST,2
1,2024,Scott Pianowski,DST,SF DST,3
1,2024,Scott Pianowski,DST,CLE DST,4
1,2024,Scott Pianowski,DST,DAL DST,5
1,2024,Scott Pianowski,DST,MIA DST,6
1,2024,Scott Pianowski,DST,PHI DST,7
1,2024,Scott Pianowski,DST,PIT DST,8
1,2024,Scott Pianowski,DST,NE DST,9
1,2024,Scott Pianowski,DST,KC DST,10
1,2024,Jamey Eisenberg,QB,Brock Purdy,1
1,2024,Jamey Eisenberg,QB,Anthony Richardson,2
1,2024,Jamey Eisenberg,QB,Jordan Love,3
1,2024,Jamey Eisenberg,QB,Trevor Lawrence,4
1,2024,Jamey Eisenberg,QB,Jalen Hurts,5
1,2024,Jamey Eisenberg,QB,Joe Burrow,6
1,2024,Jamey Eisenberg,QB,Dak Prescott,7
1,2024,Jamey Eisenberg,QB,Josh Allen,8
1,2024,Jamey Eisenberg,QB,Lamar Jackson,9
1,2024,Jamey Eisenberg,QB,Justin Herbert,10
1,2024,Jamey Eisenberg,QB,Kyler Murray,11
1,2024,Jamey Eisenberg,QB,Tua Tagovailoa,12
1,2024,Jamey Eisenberg,RB,Najee Harris,1
1,2024,Jamey Eisenberg,RB,De'Von Achane,2
1,2024,Jamey Eisenberg,RB,David Montgomery,3
1,2024,Jamey Eisenberg,RB,Jonathan Taylor,4
1,2024,Jamey Eisenberg,RB,Breece Hall,5
1,2024,Jamey Eisenberg,RB,Josh Jacobs,6
1,2024,Jamey Eisenberg,RB,Kyren Williams,7
1,2024,Jamey Eisenberg,RB,Christian McCaffrey,8
1,2024,Jamey Eisenberg,RB,Tony Pollard,9
1,2024,Jamey Eisenberg,RB,James Cook,10
1,2024,Jamey Eisenberg,RB,Derrick Henry,11
1,2024,Jamey Eisenberg,RB,Travis Etienne,12
1,2024,Jamey Eisenberg,RB,Bijan Robinson,13
1,2024,Jamey Eisenberg,RB,Aaron Jones,14
1,2024,Jamey Eisenberg,RB,Rhamondre Stevenson,15
1,2024,Jamey Eisenberg,RB,Saquon Barkley,16
1,2024,Jamey Eisenberg,WR,Amon-Ra St. Brown,1
1,2024,Jamey Eisenberg,WR,Tee Higgins,2
1,2024,Jamey Eisenberg,WR,Davante Adams,3
1,2024,Jamey Eisenberg,WR,CeeDee Lamb,4
1,2024,Jamey Eisenberg,WR,Chris Olave,5
1,2024,Jamey Eisenberg,WR,Garrett Wilson,6
1,2024,Jamey Eisenberg,WR,Keenan Allen,7
1,2024,Jamey Eisenberg,WR,DeVonta Smith,8
1,2024,Jamey Eisenberg,WR,Ja'Marr Chase,9
1,2024,Jamey Eisenberg,WR,DK Metcalf,10
1,2024,Jamey Eisenberg,WR,Drake London,11
1,2024,Jamey Eisenberg,WR,Puka Nacua,12
1,2024,Jamey Eisenberg,WR,Stefon Diggs,13
1,2024,Jamey Eisenberg,WR,Tyreek Hill,14
1,2024,Jamey Eisenberg,WR,Justin Jefferson,15
1,2024,Jamey Eisenberg,WR,Michael Pittman,16
1,2024,Jamey Eisenberg,TE,Jake Ferguson,1
1,2024,Jamey Eisenberg,TE,George Kittle,2
1,2024,Jamey Eisenberg,TE,Cole Kmet,3
1,2024,Jamey Eisenberg,TE,Foster Moreau,4
1,2024,Jamey Eisenberg,TE,Pat Freiermuth,5
1,2024,Jamey Eisenberg,TE,David Njoku,6
1,2024,Jamey Eisenberg,TE,Brock Bowers,7
1,2024,Jamey Eisenberg,TE,Sam LaPorta,8
1,2024,Jamey Eisenberg,TE,Dallas Goedert,9
1,2024,Jamey Eisenberg,TE,Isaiah Likely,10
1,2024,Jamey Eisenberg,TE,Mark Andrews,11
1,2024,Jamey Eisenberg,TE,Travis Kelce,12
1,2024,Jamey Eisenberg,DST,KC DST,1
1,2024,Jamey Eisenberg,DST,PHI DST,2
1,2024,Jamey Eisenberg,DST,BUF DST,3
1,2024,Jamey Eisenberg,DST,MIA DST,4
1,2024,Jamey Eisenberg,DST,CLE DST,5
1,2024,Jamey Eisenberg,DST,SF DST,6
1,2024,Jamey Eisenberg,DST,BAL DST,7
1,2024,Jamey Eisenberg,DST,DAL DST,8
1,2024,Jamey Eisenberg,DST,NE DST,9
1,2024,Jamey Eisenberg,DST,PIT DST,10
1,2024,Michael Fabiano,QB,Kyler Murray,1
1,2024,Michael Fabiano,QB,Jordan Love,2
1,2024,Michael Fabiano,QB,Anthony Richardson,3
1,2024,Michael Fabiano,QB,Jalen Hurts,4
1,2024,Michael Fabiano,QB,Tua Tagovailoa,5
1,2024,Michael Fabiano,QB,Josh Allen,6
1,2024,Michael Fabiano,QB,Trevor Lawrence,7
1,2024,Michael Fabiano,QB,Lamar Jackson,8
1,2024,Michael Fabiano,QB,Brock Purdy,9
1,2024,Michael Fabiano,QB,Joe Burrow,10
1,2024,Michael Fabiano,QB,Justin Herbert,11
1,2024,Michael Fabiano,QB,Dak Prescott,12
1,2024,Michael Fabiano,RB,Saquon Barkley,1
1,2024,Michael Fabiano,RB,De'Von Achane,2
1,2024,Michael Fabiano,RB,Travis Etienne,3
1,2024,Michael Fabiano,RB,Josh Jacobs,4
1,2024,Michael Fabiano,RB,Breece Hall,5
1,2024,Michael Fabiano,RB,Bijan Robinson,6
1,2024,Michael Fabiano,RB,Derrick Henry,7
1,2024,Michael Fabiano,RB,Christian McCaffrey,8
1,2024,Michael Fabiano,RB,Kyren Williams,9
1,2024,Michael Fabiano,RB,Najee Harris,10
1,2024,Michael Fabiano,RB,David Montgomery,11
1,2024,Michael Fabiano,RB,Tony Pollard,12
1,2024,Michael Fabiano,RB,Aaron Jones,13
1,2024,Michael Fabiano,RB,Rhamondre Stevenson,14
1,2024,Michael Fabiano,RB,Jonathan Taylor,15
1,2024,Michael Fabiano,RB,James Cook,16
1,2024,Michael Fabiano,WR,Garrett Wilson,1
1,2024,Michael Fabiano,WR,Drake London,2
1,2024,Michael Fabiano,WR,Tyreek Hill,3
1,2024,Michael Fabiano,WR,Justin Jefferson,4
1,2024,Michael Fabiano,WR,Davante Adams,5
1,2024,Michael Fabiano,WR,Stefon Diggs,6
1,2024,Michael Fabiano,WR,Ja'Marr Chase,7
1,2024,Michael Fabiano,WR,CeeDee Lamb,8
1,2024,Michael Fabiano,WR,DeVonta Smith,9
1,2024,Michael Fabiano,WR,Keenan Allen,10
1,2024,Michael Fabiano,WR,Amon-Ra St. Brown,11
1,2024,Michael Fabiano,WR,Chris Olave,12
1,2024,Michael Fabiano,WR,Tee Higgins,13
1,2024,Michael Fabiano,WR,DK Metcalf,14
1,2024,Michael Fabiano,WR,Puka Nacua,15
1,2024,Michael Fabiano,WR,Michael Pittman,16
1,2024,Michael Fabiano,TE,George Kittle,1
1,2024,Michael Fabiano,TE,Dallas Goedert,2
1,2024,Michael Fabiano,TE,Brock Bowers,3
1,2024,Michael Fabiano,TE,Cole Kmet,4
1,2024,Michael Fabiano,TE,Mark Andrews,5
1,2024,Michael Fabiano,TE,Foster Moreau,6
1,2024,Michael Fabiano,TE,Pat Freiermuth,7
1,2024,Michael Fabiano,TE,David Njoku,8
1,2024,Michael Fabiano,TE,Travis Kelce,9
1,2024,Michael Fabiano,TE,Isaiah Likely,10
1,2024,Michael Fabiano,TE,Jake Ferguson,11
1,2024,Michael Fabiano,TE,Sam LaPorta,12
1,2024,Michael Fabiano,DST,DAL DST,1
1,2024,Michael Fabiano,DST,SF DST,2
1,2024,Michael Fabiano,DST,MIA DST,3
1,2024,Michael Fabiano,DST,CLE DST,4
1,2024,Michael Fabiano,DST,NE DST,5
1,2024,Michael Fabiano,DST,BAL DST,6
1,2024,Michael Fabiano,DST,BUF DST,7
1,2024,Michael Fabiano,DST,PHI DST,8
1,2024,Michael Fabiano,DST,KC DST,9
1,2024,Michael Fabiano,DST,PIT DST,10
1,2024,Andy Behrens,QB,Brock Purdy,1
