analyst,team,bias,sample_size
Jake Ciely,IND,8.788,41
Jake Ciely,JAX,10.163,24
Jake Ciely,KC,5.465,16
Jake Ciely,LA,4.638,27
Jake Ciely,LAC,9.484,17
Jake Ciely,LV,0.185,17
Jake Ciely,MIA,9.736,28
Jake Ciely,MIN,4.387,34
Jake Ciely,NE,8.78,15
Jake Ciely,NO,7.978,20
Jake Ciely,NYJ,6.826,47
Jake Ciely,PHI,1.493,53
Jake Ciely,PIT,7.325,34
Jake Ciely,SEA,9.645,15
Jake Ciely,SF,4.361,34
Jake Ciely,TEN,9.453,16
Jamey Eisenberg,ARI,5.469,17
Jamey Eisenberg,ATL,4.017,34
Jamey Eisenberg,BAL,0.45,63
Jamey Eisenberg,BUF,3.492,32
Jamey Eisenberg,CHI,9.924,29
Jamey Eisenberg,CIN,1.807,46
Jamey Eisenberg,CLE,2.124,11
Jamey Eisenberg,DAL,6.268,37
Jamey Eisenberg,DET,6.866,47
Jamey Eisenberg,GB,6.458,32
Jamey Eisenberg,HOU,6.97,8
Jamey Eisenberg,IND,7.549,41
Jamey Eisenberg,JAX,9.972,24
Jamey Eisenberg,KC,4.542,16
Jamey Eisenberg,LA,2.279,27
Jamey Eisenberg,LAC,5.132,17
Jamey Eisenberg,LV,1.378,17
Jamey Eisenberg,MIA,9.434,28
Jamey Eisenberg,MIN,4.301,34
Jamey Eisenberg,NE,7.407,15
Jamey Eisenberg,NO,8.086,20
Jamey Eisenberg,NYJ,6.924,47
Jamey Eisenberg,PHI,2.177,53
Jamey Eisenberg,PIT,7.582,34
Jamey Eisenberg,SEA,10.271,15
Jamey Eisenberg,SF,4.653,34
Jamey Eisenberg,TEN,9.56,16
Justin Boone,ARI,7.593,17
Justin Boone,ATL,3.24,34
Justin Boone,BAL,0.656,63
Justin Boone,BUF,3.202,32
Justin Boone,CHI,7.477,29
Justin Boone,CIN,1.649,46
Justin Boone,CLE,1.55,11
Justin Boone,DAL,8.624,37
Justin Boone,DET,3.995,47
Justin Boone,GB,5.832,32
Justin Boone,HOU,6.293,8
Justin Boone,IND,6.984,41
Justin Boone,JAX,11.322,24
Justin Boone,KC,2.572,16
Justin Boone,LA,6.025,27
Justin Boone,LAC,7.999,17
Justin Boone,LV,1.302,17
Justin Boone,MIA,7.412,28
Justin Boone,MIN,5.281,34
Justin Boone,NE,9.0,15
Justin Boone,NO,8.21,20
Justin Boone,NYJ,7.451,47
Justin Boone,PHI,3.823,53
Justin Boone,PIT,5.842,34
Justin Boone,SEA,10.307,15
Justin Boone,SF,2.442,34
Justin Boone,TEN,9.83,16
Michael Fabiano,ARI,5.737,17
Michael Fabiano,ATL,5.343,34
Michael Fabiano,BAL,0.901,63
Michael Fabiano,BUF,2.519,32
Michael Fabiano,CHI,8.014,29
Michael Fabiano,CIN,1.175,46
Michael Fabiano,CLE,2.007,11
Michael Fabiano,DAL,6.557,37
Michael Fabiano,DET,4.546,47
Michael Fabiano,GB,6.473,32
Michael Fabiano,HOU,6.616,8
Michael Fabiano,IND,7.756,41
Michael Fabiano,JAX,12.014,24
Michael Fabiano,KC,4.534,16
Michael Fabiano,LA,2.567,27
Michael Fabiano,LAC,8.41,17
Michael Fabiano,LV,1.067,17
Michael Fabiano,MIA,10.107,28
Michael Fabiano,MIN,5.772,34
Michael Fabiano,NE,7.577,15
Michael Fabiano,NO,7.081,20
Michael Fabiano,NYJ,7.314,47
Michael Fabiano,PHI,3.003,53
Michael Fabiano,PIT,6.075,34
Michael Fabiano,SEA,8.206,15
Michael Fabiano,SF,4.423,34
Michael Fabiano,TEN,9.819,16
Sal Vetri,ARI,7.304,17
Sal Vetri,ATL,4.031,34
Sal Vetri,BAL,1.271,63
Sal Vetri,BUF,1.441,32
Sal Vetri,CHI,8.266,29
Sal Vetri,CIN,2.01,46
Sal Vetri,CLE,2.981,11
Sal Vetri,DAL,7.216,37
Sal Vetri,DET,4.854,47
Sal Vetri,GB,5.737,32
Sal Vetri,HOU,10.866,8
Sal Vetri,IND,7.333,41
Sal Vetri,JAX,11.101,24
Sal Vetri,KC,4.461,16
Sal Vetri,LA,4.213,27
Sal Vetri,LAC,8.521,17
Sal Vetri,LV,0.927,17
Sal Vetri,MIA,10.061,28
Sal Vetri,MIN,6.528,34
Sal Vetri,NE,7.403,15
Sal Vetri,NO,7.196,20
Sal Vetri,NYJ,6.687,47
Sal Vetri,PHI,3.668,53
Sal Vetri,PIT,6.27,34
Sal Vetri,SEA,9.016,15
Sal Vetri,SF,3.097,34
Sal Vetri,TEN,9.619,16
Scott Pianowski,ARI,7.841,17
Scott Pianowski,ATL,4.71,34
Scott Pianowski,BAL,0.907,63
Scott Pianowski,BUF,2.565,32
Scott Pianowski,CHI,7.002,29
Scott Pianowski,CIN,2.486,46
Scott Pianowski,CLE,2.481,11
Scott Pianowski,DAL,7.282,37
Scott Pianowski,DET,2.544,47
Scott Pianowski,GB,5.914,32
Scott Pianowski,HOU,7.281,8
Scott Pianowski,IND,7.745,41
Scott Pianowski,JAX,10.902,24
Scott Pianowski,KC,5.605,16
Scott Pianowski,LA,4.145,27
Scott Pianowski,LAC,5.581,17
Scott Pianowski,LV,0.646,17
Scott Pianowski,MIA,11.969,28
Scott Pianowski,MIN,5.149,34
Scott Pianowski,NE,8.402,15
Scott Pianowski,NO,7.884,20
Scott Pianowski,NYJ,7.576,47
Scott Pianowski,PHI,3.675,53
Scott Pianowski,PIT,6.907,34
Scott Pianowski,SEA,9.067,15
Scott Pianowski,SF,2.364,34
Scott Pianowski,TEN,6.59,16
